User ID,Name,Time,Status
103,Lê Thị Mai,2026-09-14 08:27:02,C/In
101,Trần Đình Khánh,2026-09-14 08:43:07,C/In
104,Võ Minh Tuấn,2026-09-14 08:54:51,C/In
102,Nguyễn Thu Hà,2026-09-14 08:56:11,C/In
103,Lê Thị Mai,2026-09-14 17:39:25,C/Out
104,Võ Minh Tuấn,2026-09-14 17:48:46,C/Out
101,Trần Đình Khánh,2026-09-14 17:50:30,C/Out
102,Nguyễn Thu Hà,2026-09-14 17:54:10,C/Out
101,Trần Đình Khánh,2026-09-15 08:21:00,C/In
102,Nguyễn Thu Hà,2026-09-15 08:23:56,C/In
104,Võ Minh Tuấn,2026-09-15 08:25:28,C/In
101,Trần Đình Khánh,2026-09-15 17:37:07,C/Out
102,Nguyễn Thu Hà,2026-09-15 17:39:07,C/Out
104,Võ Minh Tuấn,2026-09-15 17:50:15,C/Out
103,Lê Thị Mai,2026-09-16 08:13:24,C/In
102,Nguyễn Thu Hà,2026-09-16 08:24:25,C/In
103,Lê Thị Mai,2026-09-16 17:35:31,C/Out
102,Nguyễn Thu Hà,2026-09-16 17:49:52,C/Out
102,Nguyễn Thu Hà,2026-09-17 08:15:26,C/In
104,Võ Minh Tuấn,2026-09-17 08:19:46,C/In
103,Lê Thị Mai,2026-09-17 08:24:51,C/In
101,Trần Đình Khánh,2026-09-17 08:29:14,C/In
250,Khách,2026-09-17 09:02:11,C/In
250,Khách,2026-09-17 11:40:53,C/Out
102,Nguyễn Thu Hà,2026-09-17 17:41:05,C/Out
104,Võ Minh Tuấn,2026-09-17 17:41:45,C/Out
103,Lê Thị Mai,2026-09-17 17:47:30,C/Out
101,Trần Đình Khánh,2026-09-17 17:53:57,C/Out
101,Trần Đình Khánh,2026-09-18 08:12:31,C/In
104,Võ Minh Tuấn,2026-09-18 08:18:31,C/In
103,Lê Thị Mai,2026-09-18 08:21:22,C/In
102,Nguyễn Thu Hà,2026-09-18 08:45:55,C/In
103,Lê Thị Mai,2026-09-18 17:33:37,C/Out
104,Võ Minh Tuấn,2026-09-18 17:35:54,C/Out
101,Trần Đình Khánh,2026-09-18 17:43:06,C/Out
102,Nguyễn Thu Hà,2026-09-18 17:44:30,C/Out
